id,number_of_reviews,review_scores_rating,TV_x,basics_x,bathroom amenities_x,bed linens_x,books and games_x,breakfast_x,building perks_x,cleaning available_x,coffee_x,entertainment_x,functional kitchen_x,hot tub_x,kid-friendly_x,kitchen appliances_x,laundry and care_x,long-term stays_x,onsite activities_x,outdoor perks_x,parking_x,pets allowed_x,pool_x,safety and security features_x,sauna_x,smoking allowed_x,view premium_x,wifi/ethernet_x,workout options_x
44420186,7,4.57,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
28640935,130,4.92,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0,1,0,0,1,1,0
1051282743815197001,3,4.67,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1
46990089,48,4.5,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0
620629605406293167,5,5,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
18673633,1,4,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
21399379,105,4.92,1,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0
946112492873063789,3,5,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0
13378869,44,4.45,1,1,1,0,0,0,1,0,1,0,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0
1117629866021735751,3,5,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0
49203847,15,5,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,0,1,0,0,1,1,0
34723220,4,5,1,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
1147397969793745627,4,5,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,1,0,0,1,1
